,,,,,,,TIME CHARACTERISATION (IN SEC),,,,,,ERROR CHARACTERISATION,,,,,,,,,,,,,,,,,,,,,,,,,,GROUND_TRUTH,MODEL DIAGRAM,
,,,,,,COARSE,,,,DETAILED,,,,,,,,,,,,,,,,,,,,,,,,COARSE,,,DETAILED,,,,
ID,CATEGORY,COARSE DESCRIPTION,DETAILED DESCRIPTION,MODEL SIZE,,DESC,,MOD_A,MOD_A_D,DESC,,MOD_D,COARSE,DETAILED,,INTENT MISMATCH ERROR,,NAMING ERROR,,PARAMETER ERROR,,hallucinating:nodes,,hallucinating:edges,,hallucinating:parameters,,hierarchy mismatch error,,syntax error,,factorysimpy syntax violation,,DESC,MOD_A,MOD_A_D,DESC,MOD_A or D,,,
,,,,,,REASONER,AMG,AMG,AMG,REASONER,AMG,AMG,,,,COARSE,DETAILED,COARSE,DETAILED,COARSE,DETAILED,COARSE,DETAILED,COARSE,DETAILED,COARSE,DETAILED,COARSE,DETAILED,COARSE,DETAILED,COARSE,DETAILED,,,,,,,,MODEL NUMBER
S1,Single_Machine,A system with a single machine,"System has a single machine(ID=MACHINE) with delay 2.  Source (ID= SRC) with inter arrival time of 1.2. SRC is connected to Machine via a Buffer(ID=BUFFER1) and MACHINE to
 SINK via a Buffer(ID=BUFFER2).. Buffer has capacity of 3. MACHINE has a work_capacity is 2","#Nodes=3
#Edges=2
#Parameters=5",,15.944,41.52,36.96,64.88,23.245,64.3224,65.7,"IDs of nodes and edges are different
default parameter 
But structure same",SINK 's ID is not picked up unless mentioned as ID=Sink,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S1/factory_model_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S1/factory_model_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S1/factory_model_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S1/factory_model_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S1/factory_model_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S1_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S1_GT.png,1
S2,Two_Machine_Sequence,A system with two machine,"System has two machines M1and M2 with delay 2.  Source (ID= SRC) with inter arrival time of 1.2. SRC is connected to M1 and M1 to M2 and M2 to Sink via Buffers, B_src_1, B_1_2, B_2_sink. All buffers have a capacity of 2.","#Nodes=4
#Edges=3
#Parameters=6",,25.79,30.07,49.98,55.54,18.38,34.993,35.27,"IDs of nodes and edges are different
default parameter are used
But structure same","Made naming errors in buffers if desc says ""name buffers as B_src_1, B_1_2, B_2_3,.."" It did not infer that itshould follwo the naming pattern as B_src_dest.
SINK is named as sink",,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S2/factory_model_2_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S2/factory_model_2_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S2/factory_model_2_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S2/factory_model_2_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S2/factory_model_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S2_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S2_GT.png,2
S3,Two_Machine_Parallel,A system with two machines connected parallely,"System has two machines M1and M2 with delay 2.  Source (ID= SRC) with inter arrival time of 1.2. SRC is connected to M1 and M1  to Sink via Buffers, B1, B2. M2 is connected parallel to M1 using Buffer B3 and B4. All buffers have a capacity of 2. Source and sink are common. All machines have a processing_Delay of 1.4","#Nodes=4
#Edges=4
#Parameters=7",,16.4,24.12,72.19,101.67,52.07,64.54,62.38,"When ID of sink is not mentioned, it considers it as sink. ""
IDs of nodes and edges are wrongly inferred
default parameter are used
But structure same","Made naming errors in buffers; 
it made new ids for machine as m_connector 
created hierarchy within.

Inferred two buffers between machine and sink and added a new machine.--SRC is connected to M1 and M1  to Sink via Buffers with IDs B1, B2. M2 is connected parallel to M1 using Buffer with IDs B3 and B4. All buffers have a capacity of 2.",,0,4,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S3/factory_model_3_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S3/factory_model_3_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S3/factory_model_3_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S3/factory_model_3_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S3/factory_model_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S3_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S3_GT.png,3
S4,Two_Machine_Loop,A system with two machines in a loop. The system has a source and a sink.,"SRC(0.3)-M1-M2-Sink. one output of M2 goes back to M1 also. All connections are via single buffers. Name buffers B1, B2,..  All machines have a processing_Delay of 2 and buffers have a capacity of 2. ","#Nodes=4
#Edges=4
#Parameters=7",,19.4,39.72,51.42,49.11,25.64,59.18,,"IDs of nodes and edges are different
default parameter are used
But structure same",Sink 's ID is picked up from the flow diagram in description,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S4/factory_model_4_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S4/factory_model_4_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S4/factory_model_4_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S4/factory_model_4_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S4_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S4_GT.png,4
S5,Homogenous_Machine_Sequence,A sequence of 5 machines,"System has 5 machines each with delay 2.  Source (ID= SRC) with inter arrival time of 1.2. All machines are interconnected via buffers. Name buffers as B1, B2, B3,.. and Machines as M1,M2,... All buffers have a capacity of 2. The sequence ends in a sink (ID=SINK). All machines have a processing_Delay of 2 and buffers have a capacity of 2. ","#Nodes=7
#Edges=6
#Parameters=12",,16.05,25.9,55.72,62.26,25.34,45.54,,"IDs of nodes and edges are different
default parameter are used
But structure same. Machine names started from 0,1..4",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S5/factory_model_5_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S5/factory_model_5_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S5/factory_model_5_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S5/factory_model_5_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S5_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S5_GT.png,5
S6,Homogeneous_Parallel_Machines,A system with 5 machines connected in parallel ,"System has 5 machines each with delay 2. 
 All machines are connected in parallel. SRC is connected to M1 and M1  to Sink via Buffers, B_SRC_1, B_1_SINK. 
 M2 is connected parallel to M1 using Buffer B_SRC_2 and B_2_SINK. and so on.All buffers have a capacity of 2.  
 System has a common source (ID= SRC) with inter arrival time of 0.2. and a common sink ""SINK"". All machines have a processing_Delay of 1.1","#Nodes=7
#Edges=10
#Parameters=16",,19.46,23.68,49.46,90.24,29.98,54.64,,"IDs of nodes and edges are different
default parameter are used, ID is given in asuumption but not picked up correctly. Let Buffer IDs be B_SRC_1, B_1_SINK, B_SRC_2, B_2_SINK, AND SO ON--- did not name correctly.


But structure same. followed naming patterns in examples fo buffers. Machine names started from 0,1..4",,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S6/factory_model_6_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S6/factory_model_6_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S6/factory_model_6_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S6/factory_model_6_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S6_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S6_GT.png,6
S7,Heterogeneous_Machine_Sequence,A sequence of 5 heterogenoues machines,"System has 5 machines (M1-M5) in series. M1(delay 1.0, cap 1), M2(2.0, 2), M3(0.5, 5), M4(3.0, 1), M5(1.5, 3). SRC (rate 1.0) feeds M1 via B1. All inter-machine buffers have capacity 2. Ends in SINK.","#Nodes=7
#Edges=6
#Parameters=17",,20.02,29.35,95.001,78.54,37.87,52.06,62.04,"IDs of nodes and edges are different
default parameter are used
But structure same

did not understand the word heterogenous","Buffer naming error- ""SRC (rate 1.0) feeds M1 via B1"" not inferred well. The buffer names are edge[0], edge[1], etc.",,0,0,15,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S7/factory_model_7_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S7/factory_model_7_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S7/factory_model_7_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S7/factory_model_7_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S7/factory_model_7_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S7_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S7_GT.png,7
